bare,translations_en
наглядный,graphic
бдительный,vigilant
одиночный,one-man
постыдный,shameful
заспанный,sleepy
драный,torn
нагой,naked
уральский,Ural-
безнаказанный,unpunished
праздный,idle
путный,sensible
инвестиционный,investment
журнальный,magazine
звенящий,ringing
господствующий,ruling
красноречивый,eloquent
платный,requiring payment
поучительный,instructive
кокетливый,coquet
четырнадцатый,fourteenth
дружественный,friendly
брачный,marriage
крикливый,loud
беспечный,Careless
услужливый,obliging
вышитый,embroidered
таёжный,taiga
горестный,sorrowful
тренировочный,training
кукурузный,Adjective of кукурузакукурузная
неотвратимый,inevitable
постепенный,gradual
несуществующий,non-existent
цыганский,Gipsy
мобильный,mobile
траурный,mourning
заколдованный,bewitched
пенсионный,pensionary
обыденный,ordinary
тройной,threefold
закономерный,conforming to the laws of nature
актуальный,actual
исходящий,outgoing
искусный,skilful
примерный,exemplary
схожий,similar
побочный,side
непобедимый,invincible
невредимый,unharmed
иудейский,Judaic
отвлечённый,abstract
несложный,simple
кроткий,gentle
астральный,astral
банный,Adjective of баня
суточный,daily
неотложный,pressing
варварский,barbarian
экий,what
придирчивый,overparticular
представительный,representative
всесоюзный,All-union
карточный,card
нудный,tedious
колченогий,lame
горделивый,haughty
самоуверенный,self-confident
бараний,sheepskin
судорожный,convulsive
сморщенный,wrinkled
синтетический,synthetic
карательный,punitive
дождевой,Adjective of дождь
чувственный,perceptible
азартный,reckless
благотворительный,charitable
неважный,unimportant
одержимый,one possessed
трудолюбивый,industrious
неестественный,unnatural
сравнимый,comparable
автономный,autonomous
полнейший,sheer
ладный,well-knit
аналитический,analytic
унижённый,humble
непременный,indispensable
сапёрный,field-engineer
базарный,Adjective of базарбазарный
значимый,meaningful
восходящий,ascending
сигнальный,signal
циничный,cynical
стёртый,effaced
логичный,logical
тоталитарный,totalitarian
вороной,black
позапрошлый,before last
пламенный,flaming
моторный,motive
общинный,communal
товарищеский,comradly
бесчувственный,insensible
отражённый,reflected
стабильный,stable
бесспорный,indisputable
ароматный,aromatic
бильярдный,billiard
межпланетный,interplanetary
звучный,sonorous
выжидательный,waiting
надменный,haughty
керосиновый,kerosene
знойный,hot
депутатский,Adjective of депутат
несовместимый,incompatible
неподходящий,unsuitable
шитый,embroidered
угловой,angle
слышимый,audible
снотворный,soporific
дырявый,worn through
бюрократический,bureaucratic
тысячный,thousandth
проволочный,wire
гуманный,humane
невзрачный,unprepossessing
капитальный,capital
комплексный,complex
оный,that
истошный,heart-rending
плановый,systematic
укрытый,sheltered
прямоугольный,right-angled
невесомый,imponderable
непроходимый,impassable
чешский,Czech
полый,hollow
берлинский,Berlin
пресный,fresh
ненадёжный,unreliable
безусловный,absolute
ежегодный,yearly
доброжелательный,benevolent
швейный,sewing
актёрский,Adjective of актёр
цементный,cement
завистливый,envious
медовый,Adjective of мёд
сокрушительный,shattering
небрежный,careless
редкостный,rare
гостиничный,Adjective of гостиница
квартирный,billeting
пиковый,of spades
вокзальный,Adjective of вокзал
вопросительный,interrogative
легальный,legal
спинной,spinal
непредвиденный,unforeseen
лимонный,Adjective of лимонлимонное
цветастый,with bright flower pattern
сушёный,dry
этический,ethic
бирюзовый,turquoise
мышечный,muscular
овощной,vegetable
скоростной,velocity
думский,Adjective of дума
суконный,cloth
корабельный,Adjective of корабль
неимоверный,incredible
компетентный,competent
служивый,soldier
удельный,specific
отчий,paternal
запутанный,tangled
красочный,colourful
обманчивый,deceptive
треугольный,three-cornered
посадочный,planting
своевременный,timely
лихорадочный,feverish
составной,component
ужасающий,horrific
отвесный,sheer
благословенный,blessed
неустойчивый,unstable
завидный,enviable
дряхлый,decrepit
целенаправленный,single-minded
вздорный,absurd
психиатрический,psychiatric
миниатюрный,tiny
неблагодарный,ungrateful
золочёный,gilded
сиплый,husky
кладбищенский,Adjective of кладбищекладбищенский
радиоактивный,radioactive
многоэтажный,many-storeyed
католический,Catholic
смежный,adjacent
необратимый,irreversible
восьмидесятый,eightieth
теннисный,tennis
неудержимый,irrepressible
беззаботный,light-hearted
губернский,Adjective of губерниягубернский
двигательный,impellent
кислородный,Adjective of кислородкислородная
командировочный,travel allowance
буквальный,literal
сливочный,cream
самовольный,self-willed
подручный,at hand
наземный,ground
насущный,vital
безвольный,weak-willed
маркий,easily soiled
томительный,wearisome
ковровый,Adjective of ковёр
незаменимый,irreplaceable
миллионный,millionth
нескрываемый,unconcealed
ресторанный,Adjective of ресторан
паспортный,Adjective of паспортпаспортный
безмозглый,brainless
неосторожный,careless
злосчастный,ill-starred
питательный,nourishing
отсталый,outdated
туристский,travelling
гадкий,nasty
скалистый,rocky
нетрезвый,not sober
хромовый,chrome
гусиный,goose
недосягаемый,inaccessible
бескорыстный,disinterested
надлежащий,fitting
потребительский,Adjective of потребительпотребительская
неизмеримый,immeasurable
веский,reasonable
анонимный,anonymous
неграмотный,illiterate
начальственный,overbearing
львиный,Adjective of лев
нацистский,Nazi
олений,Adjective of оленьоленьи
учащийся,student
тучный,fat
пушечный,gun
состоятельный,solvent
структурный,structural
юркий,brisk
рыжеватый,reddish
оперный,opera
потомственный,hereditary
козий,Adjective of козакозье
дождливый,rainy
мыслимый,conceivable
миловидный,pretty
статистический,statistic
раздутый,exaggerated
участливый,sympathetic
преждевременный,premature
архивный,Adjective of архив
низкорослый,undersized
безудержный,unrestrained
румынский,Romanian
близорукий,near-sighted
вспомогательный,auxiliary
ведомый,driven
ошибочный,erroneous
воинственный,martial
улыбчивый,smiling
мышиный,Adjective of мышь
глубокомысленный,profound
кратковременный,momentary
замаскированный,disguised
розоватый,pinkish
высотный,high-altitude
вышестоящий,higher
аристократический,aristocratic
кажущийся,seeming
рябой,pitted
общепринятый,conventional
зверский,brutal
жалостливый,pitiful
геологический,geological
неопытный,inexperienced
кооперативный,co-operative
одарённый,gifted
пропагандистский,propagandistic
монотонный,monotonous
множественный,plural
скользящий,sliding
лыжный,ski
мартовский,Adjective of мартмартовский
наёмный,hired
неистребимый,ineradicable
человечий,human
затаённый,secret
щуплый,puny
объяснимый,explicable
расчётливый,prudent
подопечный,under wardship
гипсовый,gypseous
конституционный,constitutional
коровий,Adjective of коровакоровье
бескрайний,boundless
последовательный,successive
невежественный,ignorant
учтивый,civil
суеверный,superstitious
издевательский,scoffing
замысловатый,intricate
литейный,founding
опорный,supporting
незабываемый,unforgettable
австралийский,Australian
расплывчатый,diffuse
пепельный,ashy
уловимый,perceptible
плетёный,wattled
пузатый,big-bellied
никелированный,nickel-plated
отборный,select
почечный,nephritic
парадоксальный,paradoxical
порочный,vicious
волнистый,wavy
беспартийный,non-Party
пытливый,inquisitive
окаянный,damned
любительский,amateur
неразумный,unreasonable
интернациональный,international
виноградный,Adjective of виноградвиноградная
облезлый,shabby
прибалтийский,Baltic
стационарный,stationary
пустяковый,trifling
огородный,Adjective of огородогородные
всенародный,national
безотказный,faultless
количественный,quantitative
каштановый,chestnut
абсурдный,absurd
наставительный,instructive
подкожный,hypodermic
уязвимый,vulnerable
экстренный,special
адекватный,adequate
дошкольный,pre-school
уместный,appropriate
вступительный,entrance
мерный,measured
принудительный,compulsory
тухлый,rotten
непослушный,disobedient
неяркий,pale
резервный,reserve
венский,Viennese
серный,sulphuric
вселенский,universal
шутливый,witty
съёмочный,survey
диверсионный,Adjective of диверсиядиверсионный
оружейный,Adjective of оружиеоружейный
талый,thawed
колонный,Adjective of колонна
сбивчивый,confusing
никчёмный,useless
эмигрантский,Adjective of эмигрант
пасмурный,cloudy
августовский,Adjective of августавгустовский
доверенный,proxy
прибавочный,additional
запоздалый,belated
монгольский,Mongolian
неравный,unequal
аллергический,allergic
атмосферный,atmospheric
исступлённый,frenzied
льготный,Adjective of льготальготный
шпионский,espionage
замшевый,Adjective of замшазамшевые
эфирный,ether
статный,stately
мясистый,fleshy
кремовый,cream
процентный,Adjective of процентпроцентные
сумеречный,twilight
просвещённый,enlightened
старейший,oldest
будничный,workaday
перламутровый,mother-of-pearl
ситцевый,Adjective of ситец
ветреный,windy
заячий,Adjective of заяц
загнанный,tired out
скованный,constrained
периодический,periodic
непьющий,abstemious
метровый,Adjective of метр
недорогой,inexpensive
наступательный,offensive
ликующий,exultant
пожизненный,life
беззлобный,kindly
оловянный,Adjective of оловооловянная
бессознательный,unconscious
неописуемый,indescribable
действенный,effective
черноглазый,dark-eyed
весомый,ponderable
справочный,inquiry
основательный,well-grounded
породистый,thoroughbred
пространственный,spatial
безоружный,unarmed
добросовестный,honest
лёгочный,pulmonare
неглупый,sensible
податливый,pliable
монастырский,Adjective of монастырь
правдоподобный,verisimilar
ископаемый,fossilized
одновременный,simultaneous
деятельный,active
пегий,skewbald
явственный,clear
счётный,account
матросский,Adjective of матросматросская
безоблачный,cloudless
немногочисленный,not numerous
оборотный,circulating
спичечный,match
лазерный,laser
хвойный,coniferous
вопиющий,scandalous
истый,true
беззвучный,soundless
измятый,crumpled
черноволосый,dark-haired
благоразумный,reasonable
вагонный,Adjective of вагон
пуховый,downy
успокоительный,calming
неминуемый,inevitable
спорный,questionable
стартовый,starting
неодолимый,irresistible
начитанный,well-read
освободительный,liberation
голубоглазый,blue-eyed
лежачий,lying
прирождённый,innate
укромный,secluded
директорский,Adjective of директор
декабрьский,Adjective of декабрьдекабрьский
чреватый,fraught
матерный,Adjective of мат
огорчённый,pained
постный,lenten
всегдашний,usual
маловероятный,hardly probable
тридцатилетний,of thirty years
простенький,plain and simple
татарский,Tatar
эротический,erotic
чахлый,stunted
беспричинный,causeless
вычислительный,calculating
конструкторский,Adjective of конструктор
безукоризненный,irreproachable
самоотверженный,selfless
эстрадный,variety
купеческий,Adjective of купецкупеческое
ревнивый,jealous
обстоятельный,detailed
лисий,Adjective of лиса
доходный,profitable
честолюбивый,ambitious
ворчливый,grumbling
непроглядный,pitch-dark
безвестный,obscure
субботний,Adjective of суббота
сопутствующий,accompanying
поддельный,false
высокомерный,haughty
госпитальный,Adjective of госпиталь
подъёмный,lifting
застойный,stagnant
ритуальный,ritual
мысленный,mental
доверительный,confidential
съедобный,eatable
свистящий,sibilant
летательный,flying
непомерный,exorbitant
незапамятный,immemorial
дельный,efficient
папиросный,Adjective of папиросапапиросная
засаленный,greasy
разрозненный,odd
безвыходный,hopeless
алмазный,Adjective of алмаз
февральский,Adjective of февральфевральский
оптовый,wholesale
дедов,Adjective of дед
диалектический,dialectical
дворовый,menial
пробный,trial
шаткий,unsteady
мусульманский,Mohammedan
полиэтиленовый,Adjective of полиэтилен
токсический,toxic
пространный,extensive
занятный,amusing
неглубокий,rather shallow
пылкий,ardent
холеный,well cared-for
замочный,Adjective of замок
решётчатый,lattice
пиратский,piratic
диспетчерский,dispatching
непристойный,obscene
июньский,Adjective of июньиюньский
респектабельный,respectable
обменный,Adjective of обмен
кардинальный,cardinal
подследственный,under investigation
смертоносный,mortal
ювелирный,jewellery
продажный,sale
рисовый,rice
социологический,sociological
неугомонный,restless
общительный,sociable
скучающий,bored
рабский,slave
плюшевый,plush
ловчий,huntsman
линейный,linear
декоративный,decorative
ноябрьский,Adjective of ноябрьноябрьский
самозабвенный,selfless
сиротливый,lonely
заплаканный,tear-stained
апрельский,Adjective of апрельапрельский
железобетонный,Adjective of железобетонжелезобетонные
долгосрочный,long-term
ненасытный,insatiable
проворный,quick
висячий,hanging
танцевальный,dancing
ребячий,childish
нескладный,incoherent
угнетённый,oppressed
баскетбольный,Adjective of баскетболбаскетбольная
утомительный,tiresome
соловый,light day
зубчатый,toothed
неуязвимый,invulnerable
ярый,ardent
взлётный,Adjective of взлётвзлётная
чистосердечный,candid
раковый,crawfish
стариковский,Adjective of старик
парашютный,parachute
лаковый,varnished
студёный,very cold
сенсационный,sensational
категорический,categorical
вирусный,viral
ажурный,open-work
комиссионный,commission
потухший,extinct
бескровный,bloodless
терпкий,astringent
опрометчивый,hasty
бесхитростный,artless
зоркий,sharp-sighted
тыльный,back
чёрствый,stale
павший,the fallen
ломаный,broken
нереальный,unreal
домовый,Adjective of дом
выставочный,Adjective of выставкавыставочный
сорокалетний,of forty years
рыбацкий,fishing
хоккейный,hockey
головокружительный,giddy
веснушчатый,freckled
близлежащий,neighbouring
кровожадный,blood-thirsty
мелодичный,melodious
беспрестанный,continual
неотступный,persistent
длинноногий,long-legged
слёзный,lachrymal
вязаный,knitted
стиральный,washing
горбоносый,hook-nosed
стоячий,standing
интеллигентский,Adjective of интеллигент
неотъемлемый,inalienable
незыблемый,firm
чернильный,ink
нулевой,zero
путаный,confused
водянистый,watery
ходячий,walking
новоявленный,latter-day
допотопный,antediluvian
упитанный,well-fed
двадцатилетний,of twenty years
измождённый,emaciated
овечий,Adjective of овца
водочный,Adjective of водкаводочный
блуждающий,wandering
экспортный,export
беспрецедентный,unprecedented
министерский,ministerial
маслянистый,oily
мудрёный,odd
неумелый,clumsy
молниеносный,lightning
содержательный,rich in content
закалённый,hardened
зловонный,fetid
произвольный,arbitrary
певучий,melodious
расчётный,rated
несусветный,extreme
дорогостоящий,expensive
негласный,secret
хваткий,strong
националистический,nationalistic
инородный,alien
казачий,Adjective of казак
сольный,solo
нестандартный,non-standard
обгорелый,burnt
реакционный,reactionary
кандидатский,Adjective of кандидаткандидатский
сверхъестественный,supernatural
испытующий,searching
бамбуковый,Adjective of бамбук
плечистый,broad-shouldered
махровый,double
корыстный,mercenary
беспредельный,infinite
первоклассный,first-class
артистический,artistic
сопливый,snotty
блёклый,faded
тронный,throne
негодный,unfit
систематический,systematic
режущий,cutting
риторический,rhetorical
электромагнитный,electromagnetic
доскональный,thorough
поношенный,shabby
карельский,Karelian
холщовый,Adjective of холст
безликий,faceless
эмалированный,enamelled
досадный,annoying
злокачественный,malignant
вульгарный,vulgar
предательский,treacherous
полотняный,linen
полуденный,midday
гранёный,cut
комнатный,indoor
приметный,perceptible
мемориальный,memorial
нездешний,not of these parts
глинистый,clayey
базовый,basic
вещественный,material
грубоватый,coarse
повелительный,imperative
трепетный,trembling
янтарный,amber
альтернативный,alternative
девственный,virgin
живучий,of great vitality
необозримый,boundless
безрассудный,rash
изначальный,primordial
растянутый,stretched
климатический,climatic
самолюбивый,proud
компактный,compact
бычий,Adjective of бык
неряшливый,negligent
гороховый,Adjective of горохгороховый
невротический,neurotic
металлургический,metallurgical
несравненный,perfect
удовлетворительный,satisfactory
меткий,well-aimed
кулинарный,culinary
афганский,Afghan
изнурительный,exhausting
истовый,earnest
цифровой,Adjective of цифрацифровые
яичный,egg
поисковый,searching
сварливый,quarrelsome
пониженный,low
незадачливый,luckless
разительный,striking
вшивый,lousy
визитный,visiting
дистанционный,Adjective of дистанциядистанционный
посмертный,posthumous
толстенький,plump
фигурный,figured
тысячелетний,millennial
лесистый,wooded
невыразимый,inexpressible
игривый,playful
дряблый,flabby
терпимый,tolerant
смешливый,risible
языческий,heathen
наивысший,the highest
шейный,neck
слоновый,elephantine
снайперский,Adjective of снайпер
ломкий,fragile
перманентный,permanent
жандармский,Adjective of жандарм
обитаемый,inhabited
мебельный,Adjective of мебель
целебный,medicinal
неузнаваемый,unrecognizable
неширокий,rather narrow
жемчужный,pearl
дивизионный,divisional
датский,Danish
производный,derivative
осознанный,deliberate
панический,panic
пунцовый,crimson
сообразительный,quick-witted
языковой,linguistic
серийный,serial
станционный,station
журналистский,journalistic
переодетый,disguised
гонимый,persecuted
сухощавый,lean
расшитый,embroidered
арийский,Aryan
безостановочный,unceasing
топливный,Adjective of топливотопливная
наркотический,narcotic
провокационный,provocative
неизлечимый,incurable
несущественный,inessential
остервенелый,frenzied
просительный,pleading
издательский,Adjective of издатель
подсобный,subsidiary
угловатый,angular
термоядерный,thermonuclear
аграрный,agrarian
язвенный,ulcerous
недельный,weekly
нежданный,unexpected
несерьёзный,not serious
опрятный,neat
гибельный,disastrous
шипящий,hissing
латунный,brass
готический,Gothic
астрономический,astronomic
разговорчивый,talkative
июльский,Adjective of июльиюльский
чердачный,Adjective of чердакчердачное
барабанный,Adjective of барабанбарабанный
предпоследний,last but one
крахмальный,starched
земский,Adjective of земство
необитаемый,uninhabited
злостный,malicious
тенистый,shady
взводный,platoon commander
пагубный,pernicious
небогатый,of modest means
анатомический,anatomic
подростковый,Adjective of подросток
тщедушный,feeble
несчастливый,unfortunate
надутый,haughty
неубедительный,unconvincing
млечный,milk
растворимый,soluble
мордастый,with a large muzzle
сытный,substantial
альпийский,Alpine
сентябрьский,Adjective of сентябрьсентябрьский
косметический,cosmetic
невнимательный,inattentive
глуховатый,somewhat deaf
дагестанский,Dagestan
зажиточный,well-to-do
бельгийский,Belgian
гнетущий,oppressive
первозданный,primordial
эволюционный,evolutional
мятежный,rebellious
негодующий,indignant
недоверчивый,distrustful
беспросветный,pitch dark
дымчатый,smoke-coloured
конторский,Adjective of контораконторская
привилегированный,privileged
одноразовый,non-permanent
позитивный,positive
атлантический,Atlantic
милосердный,merciful
непоколебимый,firm
поселковый,Adjective of посёлокпоселковый
неоспоримый,unquestionable
невиновный,innocent
беззубый,toothless
бесстыжий,shameless
непрошеный,unbidden
кедровый,cedar
терапевтический,therapeutic
незваный,unbidden
клубный,Adjective of клуб
недостающий,missing
дробный,fractional
детальный,detailed
неотразимый,irresistible
красноармейский,Adjective of красноармеец
тёртый,ground
втянутый,drawn in
обидчивый,touchy
вожделенный,desired
замшелый,mossy
исчерпывающий,exhaustive
чумазый,dirty-faced
верёвочный,Adjective of верёвкаверёвочная
латвийский,Latvian
гортанный,laryngeal
безответный,unreciprocated
неисчерпаемый,inexhaustible
миномётный,Adjective of миномёт
краденый,stolen
белковый,albuminous
централизованный,centralized
впалый,hollow
всесторонний,comprehensive
нешуточный,serious
волжский,Volga
экономный,economical
орлиный,eagle
гимнастический,gymnastic
зависимый,dependent
сладострастный,voluptuous
мизерный,scanty
занимательный,entertaining
пряный,spicy
ртутный,mercurial
рвотный,vomitive
кощунственный,blasphemous
детективный,detective
шотландский,Scottish
капустный,Adjective of капуста
корректный,correct
оккультный,occult
ссыльный,exile
расторопный,quick
звучащий,sounding
курящий,smoker
отрешённый,aloof
снарядный,shell
старушечий,old-womanish
чиновничий,Adjective of чиновник
яблочный,Adjective of яблокояблочный
инвалидный,Adjective of инвалидинвалидный
ускоренный,speeded up
колониальный,colonial
подслеповатый,weak-sighted
дальневосточный,Far-Eastern
благодатный,beneficial
полномочный,plenipotentiary
замужний,married for girls
затейливый,intricate
травянистый,grassy
вышеупомянутый,afore-mentioned
болтливый,garrulous
раздражающий,irritating
несметный,innumerable
органный,Adjective of орган
заразный,infectious
осиновый,aspen
утончённый,refined
паровозный,Adjective of паровозпаровозное
рекордный,record
стерильный,sterile
аппетитный,appetizing
несовершенный,imperfect
круглолицый,round-faced
искомый,sought for
импровизированный,improvised
неразрешимый,insoluble
маниакальный,maniacal
гимназический,Adjective of гимназия
непрестанный,unceasing
задушевный,cordial
гармоничный,harmonious
подготовительный,preparatory
смирный,quiet
девяностый,ninetieth
гигиенический,hygienic
светловолосый,fair
бактериологический,bacteriological
знаменательный,significant
продольный,longitudinal
рентгенологический,rontgenologic
куцый,dock-tailed
возмутительный,scandalous
кругленький,rotund
длинноволосый,long-haired
промозглый,dank
несвежий,not fresh
неповоротливый,awkward
любознательный,inquisitive
несвойственный,unusual
нечаянный,unexpected
скальный,rock
синеглазый,blue-eyed
сладковатый,sweetish
несокрушимый,indestructible
удушливый,suffocating
низменный,low-lying
ненаглядный,darling
смехотворный,laughable
реалистический,realistic
чокнутый,cranky
недостижимый,unachievable
целостный,integral
именитый,distinguished
столетний,centenary
этнический,ethnic
неопровержимый,irrefutable
дегенеративный,moronic
повальный,general
неоновый,Adjective of неоннеоновая
предприимчивый,enterprising
раскосый,slanting
диагностический,diagnostic
единичный,single
вахтенный,watch
покладистый,complaisant
кровяной,Adjective of кровькровяные
многострадальный,long-suffering
душераздирающий,heart-rending
глухонемой,deaf-and-dumb
арестантский,Adjective of арестантарестантская
глянцевый,glossy
непутёвый,good-for-nothing
каждодневный,daily
объёмистый,voluminous
тошнотворный,sickening
облачный,cloudy
вороний,corvine
первомайский,May-Day
изломанный,broken
родословный,genealogy
наклонный,inclined
неукротимый,indomitable
пенистый,foamy
каторжный,Adjective of каторга
выборный,elective
утешительный,consolatory
узловатый,knotty
разбойничий,Adjective of разбойникразбойничья
убийственный,killing
бугристый,uneven
кропотливый,painstaking and slow
ворованный,stolen
безответственный,irresponsible
гипертонический,hypertensive
леденящий,chilling
троцкистский,Trotskyist
узорчатый,patterned
велосипедный,Adjective of велосипедвелосипедный
стопроцентный,hundred-per-cent
отёчный,oedematic
ехидный,malicious
именной,nominal
заядлый,inveterate
преуспевающий,successful
гормональный,hormone
секундный,Adjective of секундасекундная
кубинский,Cuban
обледенелый,ice-covered
комический,comic
мещанский,narrow-minded
кругосветный,round-the-world
подвластный,subject
неприветливый,unfriendly
посольский,ambassadorial
отпетый,arrant
нейлоновый,nylon
вельветовый,Adjective of вельвет
безвредный,harmless
неравнодушный,not indifferent
непригодный,unfit
барский,lordly
балетный,ballet
беспризорный,neglected
многолюдный,populous
затхлый,musty
отзывчивый,responsive
козловый,goatskin
яшмовый,jasper
сохатый,elk
женственный,feminine
несказанный,unspeakable
вездесущий,omnipresent
беззаветный,selfless
настенный,wall
благоговейный,awesome
бездумный,thoughtless
предупредительный,preventive
подобострастный,servile
заповедный,protected
испытательный,test
истощённый,wasted
сидячий,sitting
топкий,boggy
ремесленный,handicraft
недопустимый,inadmissible
водородный,hydrogenous
отличительный,distinctive
пугливый,fearful
мексиканский,Mexican
лестный,flattering
визгливый,shrill
посредственный,mediocre
пешеходный,pedestrian
порывистый,gusty
грязноватый,rather dirty
ежеминутный,occurring every minute
людный,populous
лавровый,Adjective of лаврлавровая
сапожный,shoe
инструментальный,instrumental
протяжный,long drawn-out
целеустремлённый,purposeful
комариный,Adjective of комар
смиренный,humble
богатырский,Herculean
монументальный,monumental
сердобольный,tender-hearted
неуёмный,indefatigable
приблизительный,approximate
текучий,fluid
ядрёный,vigorous
смазливый,pretty
кукольный,Adjective of куклакукольное
бесшабашный,reckless
парусиновый,Adjective of парусинапарусиновые
геометрический,geometric
основополагающий,basic
троюродный,second cousin
щербатый,pock-marked
прибыльный,profitable
покровительственный,protective
нерушимый,inviolable
отрывистый,jerky
бесплотный,incorporeal
холостяцкий,Adjective of холостяк
прямолинейный,rectilinear
западноевропейский,West European
многообещающий,promising
боксёрский,Adjective of боксёр
неисчислимый,incalculable
уездный,uyezd
пикантный,piquant
самодеятельный,amateur
ориентированный,competent
раскатистый,rolling
заразительный,infectious
восклицательный,exclamatory
дюжий,stalwart
дотошный,hair-splitting
комендантский,Adjective of комендант
многообразный,varied
губернаторский,of governor
тракторный,tractor
лобастый,with a large forehead
вымышленный,invented
лебединый,Adjective of лебедь
остроконечный,pointed
выносливый,of great endurance
благообразный,handsome
пищеварительный,digestive
безысходный,irreparable
прозаический,prosaic
щекотливый,ticklish
мужицкий,Adjective of мужик
апельсиновый,Adjective of апельсинцветы
княжеский,princely
суммарный,total
бриллиантовый,Adjective of бриллиант
развязный,familiar
изношенный,worn-out
бесперебойный,uninterrupted
загробный,beyond the grave
политехнический,polytechnic
ущербный,on the wane
казарменный,barrack
антарктический,antarctic
плешивый,bald
дочерний,daughter
недурной,not bad
безногий,legless
маскировочный,Adjective of маскировка
бездушный,callous
антикварный,antique
напористый,energetic
броневой,armoured
хулиганский,Adjective of хулиган
номинальный,nominal
исконный,primordial
обвинительный,accusatory
работящий,industrious
расовый,racial
будний,everyday
обоюдный,mutual
затерянный,forgotten
баснословный,legendary
непокорный,refractory
неказистый,plain
поджарый,wiry
лучезарный,radiant
геройский,heroic
презренный,contemptible
тихоокеанский,Pacific
невыгодный,disadvantageous
костистый,bony
благостный,mellow
беспрерывный,continuous
подсолнечный,sunflower
витиеватый,florid
досрочный,ahead of schedule
хвалёный,greatly praised
вдовый,widowed
идентичный,identical
коронный,Adjective of корона
равномерный,even
лучистый,radiant
сочувственный,sympathetic
приходящий,non-resident
объёмный,by volume
подобающий,proper
стёганый,quilted
нелюбимый,unloved
переходный,transitional
империалистический,imperialist
немногословный,laconic
единодушный,unanimous
гарнизонный,Adjective of гарнизонгарнизонная
невидящий,unseeing
сухопарый,lean
прихотливый,whimsical
манящий,alluring
сероватый,greyish
соединительный,connecting
вьетнамский,Vietnamese
зубастый,large-toothed
хладнокровный,cool
увядший,withered
небезопасный,unsafe
ретивый,zealous
контрастный,contrasting
полукруглый,semicircular
показной,for show
ружейный,gun
черепичный,tiled
неточный,inaccurate
прыщавый,pimply
посыльный,messenger
тряпичный,rag
губительный,baneful
тщетный,vain
безмерный,boundless
седоватый,greyish
писаный,hand-written
плаксивый,whining
шелковистый,silky
ангельский,angelic
рублёвый,one-rouble
неполноценный,defective
невежливый,impolite
незабвенный,unforgettable
точёный,sharpened
неопрятный,slovenly
адресный,address
гнедой,bay
сивый,grey
мобилизационный,Adjective of мобилизация
клейкий,sticky
крысиный,Adjective of крысакрысиная
материалистический,materialist
бухгалтерский,book-keeping
бежевый,beige
норвежский,Norwegian
невыразительный,inexpressive
венозный,venous
развлекательный,entertaining
венецианский,Venetian
означенный,the aforesaid
проходимый,passable
нерадивый,negligent
багряный,crimson
сальный,tallow
добропорядочный,respectable
резвый,sportive
дипломный,Adjective of дипломдипломная
титанический,titanic
обострённый,sharp
байковый,Adjective of байка
губной,labial
отеческий,fatherly
разовый,valid for one occasion
общеизвестный,well-known
многомиллионный,of many millions
новоиспечённый,newly-made
безнравственный,immoral
учредительный,constitutive
междугородный,intertown
арбитражный,Adjective of арбитражарбитражный
рыболовный,fishing
малознакомый,unfamiliar
оптимистический,optimistic
проектный,designed
кулацкий,Adjective of кулак
рейсовый,regular
джазовый,jazz
плодотворный,fruitful
ледовый,ice
горьковатый,bitterish
истребительный,destructive
аптечный,Adjective of аптека
землистый,earthy
безрадостный,joyless
пшённый,millet
победоносный,victorious
туберкулёзный,tubercular
неразговорчивый,not talkative
изолированный,isolated
приветственный,salutatory
скульптурный,sculptural
расхожий,in demand
концентрированный,concentrated
обозримый,visible
смышлёный,clever
петушиный,Adjective of петухпетушиный
микроскопический,microscopic
моржовый,Adjective of морж
прицельный,aiming
благодушный,complacent
непревзойдённый,unsurpassed
внутривенный,intravenous
нестройный,dissonant
кричащий,loud
регистрационный,registration
ёлочный,Adjective of ёлкаёлочные
неписаный,unwritten
дизельный,diesel
зычный,loud
неудачливый,unlucky
гнутый,bent
строптивый,obstinate
центробежный,centrifugal
образовательный,educational
песочный,sandy
бронхиальный,bronchial
бессловесный,dumb
плачевный,lamentable
человечный,humane
балконный,Adjective of балкон
экспертный,Adjective of экспертэкспертная
раздражительный,irritable
малюсенький,tiny
читательский,Adjective of читательчитательская
неуправляемый,out of control
помешанный,mad
литровый,litre
исподний,under
гусеничный,caterpillar
визуальный,visual
сносный,supportable
поспешный,prompt
застарелый,inveterate
царственный,kingly
контактный,Adjective of контакт
немощный,infirm
суверенный,sovereign
круглосуточный,twenty-four-hour
сюжетный,Adjective of сюжет
сравнительный,comparative
розовощёкий,pink-cheeked
истеричный,hysterical
обоснованный,well-founded
оккупационный,Adjective of оккупацияоккупационные
лодочный,Adjective of лодкалодочный
парчовый,Adjective of парча
безучастный,apathetic
конопатый,freckled
плодородный,fertile
носатый,big-nosed
признательный,grateful
булыжный,Adjective of булыжникбулыжная
нормативный,normative
догадливый,quick-witted
флегматичный,phlegmatic
